,ref_name,ref_first,ref_last,elec_name,elec_url,house_or_senate,state,party,start_year,end_year,match
81,"Talcott, Burt L.",Burt L.,Talcott,,,House,California,Republican,1963,1977,fail-lastname
82,"Albert, Carl",Carl,Albert,,,House,Oklahoma,Democratic,1947,1977,only-surname
83,"Perkins, Carl C.",Carl C.,Perkins,,,House,Kentucky,Democratic,1984,1993,fail-firstname
84,"Pursell, Carl D.",Carl D.,Pursell,,,House,Michigan,Republican,1977,1993,fail-lastname
85,"Perkins, Carl Dewey",Carl Dewey,Perkins,,,House,Kentucky,Democratic,1949,1985,fail-firstname
86,"Curtis, Carl T.",Carl T.,Curtis,,,"House,Senate",Nebraska,Republican,1939,1979,fail-firstname
87,"King, Carleton J.",Carleton J.,King,,,House,New York,Republican,1961,1975,fail-firstname
88,"Miller, Carol D.",Carol D.,Miller,,,House,West Virginia,Republican,2019,9999,ambiguous
89,"Campbell, Carroll A., Jr.","Carroll A., Jr.",Campbell,,,House,South Carolina,Republican,1979,1987,fail-firstname
90,"Hubbard, Carroll, Jr.","Carroll, Jr.",Hubbard,,,House,Kentucky,Democratic,1975,1993,fail-firstname
91,"Goodwin, Carte Patrick",Carte Patrick,Goodwin,,,Senate,West Virginia,Democratic,2010,2010,fail-firstname
92,"Long, Cathy (Mrs. Gillis)",Cathy (Mrs. Gillis),Long,,,House,Louisiana,Democratic,1985,1987,fail-firstname
93,"Heftel, Cecil",Cecil,Heftel,,,House,Hawaii,Democratic,1977,1987,fail-lastname
94,"Wylie, Chalmers P.",Chalmers P.,Wylie,,,House,Ohio,Republican,1967,1993,fail-lastname
95,"Hatcher, Charles",Charles,Hatcher,,,House,Georgia,Democratic,1981,1993,fail-lastname
96,"Luken, Charles",Charles,Luken,,,House,Ohio,Democratic,1991,1993,fail-lastname
97,"Thone, Charles",Charles,Thone,,,House,Nebraska,Republican,1971,1979,fail-lastname
98,"Wilson, Charles",Charles,Wilson,,,House,Texas,Democratic,1973,1997,ambiguous
99,"Hayes, Charles A.",Charles A.,Hayes,,,House,Illinois,Democratic,1983,1993,fail-firstname
100,"Mosher, Charles A.",Charles A.,Mosher,,,House,Ohio,Republican,1961,1977,fail-firstname
101,"Vanik, Charles A.",Charles A.,Vanik,,,House,Ohio,Democratic,1955,1981,fail-lastname
102,"Wilson, Charles A.",Charles A.,Wilson,,,House,Ohio,Democratic,2007,2011,ambiguous
103,"Diggs, Charles C., Jr.","Charles C., Jr.",Diggs,,,House,Michigan,Democratic,1955,1981,fail-lastname
104,"Bennett, Charles E.",Charles E.,Bennett,,,House,Florida,Democratic,1949,1993,fail-firstname
105,"Chamberlain, Charles E.",Charles E.,Chamberlain,,,House,Michigan,Republican,1957,1975,only-surname
106,"Wiggins, Charles E.",Charles E.,Wiggins,,,House,California,Republican,1967,1979,fail-firstname
107,"Bass, Charles F.",Charles F.,Bass,,,House,New Hampshire,Republican,1995,2013,ambiguous
108,"Percy, Charles H.",Charles H.,Percy,,,Senate,Illinois,Republican,1967,1985,fail-lastname
109,"Wilson, Charles H.",Charles H.,Wilson,,,House,California,Democratic,1963,1981,ambiguous
110,"Carney, Charles J.",Charles J.,Carney,,,House,Ohio,Democratic,1969,1979,fail-firstname
111,"Teague, Charles M.",Charles M.,Teague,,,House,California,Republican,1955,1975,fail-firstname
112,"Mathias, Charles McC., Jr.","Charles McC., Jr.",Mathias,,,"House,Senate",Maryland,Republican,1961,1987,only-surname
113,"Whitley, Charles O., Sr.","Charles O., Sr.",Whitley,,,House,North Carolina,Democratic,1977,1987,fail-lastname
114,"Gubser, Charles S.",Charles S.,Gubser,,,House,California,Republican,1953,1975,fail-lastname
115,"Sandman, Charles W., Jr.","Charles W., Jr.",Sandman,,,House,New Jersey,Republican,1967,1975,only-surname
